,listing_id,counts
3994,12255693,104
7418,18953390,104
12180,25815047,104
5163,15322468,104
22,75109,104
10368,22740286,104
3961,12164253,103
9297,21740618,103
70,307615,103
10219,22557817,103
5545,15977989,103
4064,12503135,103
4321,13194596,103
270,1002094,103
10815,23397148,103
7907,19863916,103
3465,10694660,103
9878,22253084,103
1137,4424795,103
8549,20952440,103
6068,16615600,103
747,2694616,103
332,1261894,103
3760,11534623,103
815,3048429,103
5670,16162828,103
4438,13454340,103
11010,23671166,103
5366,15714550,103
7198,18601940,103
8253,20526915,102
2946,9612810,102
5905,16398901,102
2912,9550376,102
7399,18916763,102
9060,21510557,102
8816,21266314,102
12672,26936796,102
11119,23816765,102
5256,15525024,102
6038,16561329,102
11650,24711201,102
2396,8228608,102
650,2387261,102
8557,20961380,102
4872,14601118,102
5386,15746176,102
6104,16666999,102
1333,4930970,102
4897,14704457,102
9390,21835309,102
1707,5876305,102
10469,22898571,101
2751,9117480,101
2749,9115016,101
1556,5501496,101
2458,8379278,101
9662,22049445,101
8350,20680033,101
8100,20217427,101
6688,17685975,101
2198,7549419,101
430,1715090,101
7600,19298646,101
4005,12276678,101
3165,9997898,101
7365,18878278,101
935,3618990,101
12789,27239612,101
3704,11419346,101
5643,16125877,101
9484,21900222,101
3698,11397984,101
1897,6482129,101
298,1098759,101
4015,12329587,101
8278,20574355,100
8362,20698130,100
8554,20960524,100
7535,19166611,100
4175,12843830,100
8079,20163541,100
8713,21130001,100
1975,6749041,100
5607,16074494,100
6512,17366248,100
5942,16434751,100
6022,16535020,100
2759,9138764,100
10885,23506188,100
2313,7925633,100
3069,9827746,100
11362,24200170,100
9163,21610639,100
1418,5140610,100
3523,10860719,100
8914,21385824,100
9672,22052398,100
